doe_number,instance_number,cycle,cycling_substate,start_time,end_time,capacity,time,energy,energy_rest,battery_capacity_charge_bulk,capacity_charge_cc,capacity_charge_cv,time_charge_cc,time_charge_cv,wh_charge_bulk,energy_charge_cc,energy_charge_cv,avg_temp,max_temp,min_temp,ambient_temperature_deg_c_avg,ambient_temperature_deg_c_max,ambient_temperature_deg_c_min,delta_temp,mean_mean_voltage,min_mean_voltage,max_mean_voltage,mean_min_voltage,min_min_voltage,max_min_voltage,mean_max_voltage,min_max_voltage,max_max_voltage,mean_mean_current,min_mean_current,max_mean_current,mean_min_current,min_min_current,max_min_current,mean_max_current,min_max_current,max_max_current,avg_sum_cell_voltage_v,avg_cell1_voltage_v,min_cell1_voltage_v,max_cell1_voltage_v,avg_cell2_voltage_v,max_cell2_voltage_v,min_cell2_voltage_v,avg_cell3_voltage_v,min_cell3_voltage_v,max_cell3_voltage_v,avg_cell4_voltage_v,min_cell4_voltage_v,max_cell4_voltage_v,avg_cell5_voltage_v,min_cell5_voltage_v,max_cell5_voltage_v,avg_cell6_voltage_v,min_cell6_voltage_v,max_cell6_voltage_v,avg_rest_current_a,min_rest_current_a,max_rest_current_a,avg_rest_voltage_v,min_rest_voltage_v,max_rest_voltage_v,capacity_5_minutes,capacity_10_minutes,capacity_15_minutes,capacity_20_minutes,capacity_25_minutes,capacity_30_minutes,capacity_35_minutes,capacity_40_minutes,capacity_45_minutes,capacity_50_minutes,capacity_55_minutes,capacity_60_minutes,capacity_90_minutes,capacity_120_minutes,capacity_150_minutes,capacity_180_minutes,dcir
testCell,23,195,DISCHARGE,2023-12-01 07:40:55.765,2023-12-01 07:55:40.943,2.4671,14.752966666666667,8.3156,,,2.4671,,14.74405,,,8.3156,,5.44077700274555,10.399231,0.39938354,25.915405110281448,26.46225,25.666504,9.99984746,3.3814029690982186,2.5012665,3.8702545,3.380798481275129,2.5012665,3.868744,3.3826525075244103,2.502777,3.8717651,10.00654222228605,6.860031,10.063553,9.965003681504893,6.8276825,10.031189,10.03812228230902,6.892395,10.0959015,,,,,,,,,,,,,,,,,,,,,,,,,,1.6218951,0.78537786,-0.010071593,-0.010071593,-0.010071593,-0.010071593,-0.010071593,-0.010071593,-0.010071593,-0.010071593,-0.010071593,-0.010071593,-0.010071593,-0.010071593,-0.010071593,-0.010071593,
testCell,23,195,DISCHARGE REST,2023-12-01 07:55:40.998,2023-12-01 08:25:35.161,,29.902716666666667,,0.0,,,,,,,,,3.712046922078244,10.599228,0.5993805,26.79952046699265,27.01767,26.152496,9.9998475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,24,195,CHARGE,2023-12-01 10:26:14.913,2023-12-01 11:04:08.332,2.5075,37.89031666666666,10.0453,,1.7737,,0.7328,,18.65553333333333,6.9659,,3.0793,5.494079741856667,9.999237,0.1993866,26.50045284454245,26.860123,26.045685,9.7998504,3.9776681422712175,3.283966,4.203308,3.822154848092609,3.1392822,4.076706,4.087861814906288,3.302063,4.31633,3.9722803680560137,7.522583,0.16142273,13.299205460617348,19.016312,0.4842987,9.279430213997768,0.35514832,11.13858,,,,,,,,,,,,,,,,,,,,,,,,,,0.00028047402,0.62408197,1.246528,1.8603334,2.2063606,2.3786736,2.4718275,2.5064943,2.5064943,2.5064943,2.5064943,2.5064943,2.5064943,2.5064943,2.5064943,2.5064943,
testCell,24,195,CHARGE REST,2023-12-01 11:04:08.444,2023-12-01 11:34:07.261,,29.980283333333333,,0.0375,,,,,,,,,0.626397191192005,2.59935,-0.00061035156,26.77389488630807,27.063065,26.144485,2.59996035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,24,195,DCIR,2023-12-01 11:34:07.870,2023-12-01 11:34:33.144,0.0542,0.4212333333333333,,0.222,,,,,,,,,0.03204221196,0.1993866,-0.00061035156,26.12862724489796,26.19255,26.072388,0.19999695156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4515831,2.4515831,2.4515831,2.4515831,2.4515831,2.4515831,2.4515831,2.4515831,2.4515831,2.4515831,2.4515831,2.4515831,2.4515831,2.4515831,2.4515831,2.4515831,0.0262
testCell,24,195,DISCHARGE,2023-12-01 11:34:33.148,2023-12-01 11:49:10.015,2.437,14.61445,8.2084,,,2.437,,14.6056,,,8.2084,,7.327068508313952,13.999176,0.1993866,26.64297549825581,27.39685,25.957565,13.7997894,3.369768729069768,2.5017853,3.8657074,3.3691650312209305,2.5017853,3.8657074,3.370993867151164,2.503296,3.8687286,10.005684524069748,6.8122864,10.073151,9.964987216279056,6.747711,10.040863,10.036188866860456,6.844574,10.105438,,,,,,,,,,,,,,,,,,,,,,,,,,1.6192207,0.7856366,0.014388051,0.014388051,0.014388051,0.014388051,0.014388051,0.014388051,0.014388051,0.014388051,0.014388051,0.014388051,0.014388051,0.014388051,0.014388051,0.014388051,
testCell,24,195,DISCHARGE REST,2023-12-01 11:49:10.210,2023-12-01 12:19:09.068,,29.980966666666667,,0.0049,,,,,,,,,4.077078031772618,14.599167,0.1993866,27.090209790342303,27.48497,26.352768,14.3997804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,25,195,CHARGE,2023-12-02 08:30:32.174,2023-12-02 09:09:20.836,2.3008,38.81103333333333,9.2876,,1.496,,0.8037,,21.85693333333333,5.9174,,3.3703,4.942472079696919,10.199234,-0.00061035156,25.526196451557464,25.8107,24.926834,10.19984435156,4.02292920382384,3.384781,4.2034607,3.8655794563480175,3.2279816,4.0737915,4.137932380257792,3.4013672,4.322571,3.550234945649839,7.573578,0.25891113,12.693966862234156,18.93393,0.453125,9.272966569078395,0.29130554,11.198517,,,,,,,,,,,,,,,,,,,,,,,,,,0.00033615262,0.6270213,1.2515227,1.7866064,2.0348558,2.170012,2.2544105,2.2996333,2.2996333,2.2996333,2.2996333,2.2996333,2.2996333,2.2996333,2.2996333,2.2996333,
testCell,25,195,CHARGE REST,2023-12-02 09:09:20.953,2023-12-02 09:39:15.815,,29.91436666666667,,0.0,,,,,,,,,0.3184556840685328,1.3993683,-0.2006073,25.54424352261615,26.173859,24.934845,1.5999755999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testCell,25,195,DCIR,2023-12-02 09:39:16.423,2023-12-02 09:39:41.641,0.0543,0.4203,,0.2206,,,,,,,,,-0.0373444849469387,-0.00061035156,-0.2006073,26.143395693877547,26.18454,26.08574,0.19999694844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2446482,2.2446482,2.2446482,2.2446482,2.2446482,2.2446482,2.2446482,2.2446482,2.2446482,2.2446482,2.2446482,2.2446482,2.2446482,2.2446482,2.2446482,2.2446482,0.0277
